Question,Answer,Marks
What does Verification represent?,Verification represents the set of activities that are carried out to confirm that the software correctly implements the specific functionality,1
What does Validation represent?,Validation represents the set of activities that ensure that the software that has been built is satisfying the customer requirements.,1
What are the steps followed in testing?,i. Unit testing � The individual components are tested in this type of testing. ii. Module testing � Related collection of independent components are tested. iii. Sub-system testing � This is a kind of integration testing. Various modules are integrated into a subsystem and the whole subsystem is tested. iv. System testing � The whole system is tested in this system. v. Acceptance testing � This type of testing involves testing of the system with customer data.If the system behaves as per customer need then it is accepted.,3
State the advantages and disadvantages in LOC based cost estimation?,Advantages of LOC It is straight forward (simple) Easily can be automated (plenty of tools are available) Disadvantages of LOC Its Language dependent Penalizes the well designed short programs Cannot easily accommodate nonprocedural languages Need a level of detail that may not be available at the early stages of development.,4
What is requirement engineering?,Requirement engineering is the process of establishing the services that the customer requires from the system and the constraints under which it operates and is developed.,1
What are the various types of traceability in software engineering?,i. Source traceability � These are basically the links from requirement to stakeholders who propose these requirements. ii. Requirements traceability � These are links between dependant requirements. iii. Design traceability � These are links from requirements to design.,2
If you have to develop a word processing software product: what process models will you choose? Justify your answer.,We will choose the incremental model for word processing software. It focuses on the aspects of the word processing software that are visible to the customer / end user. The feedback is used to refine the prototype.,1
What led to the transition from product to process oriented development in software engineering?,"Product techniques to designing software - Large numbers of software projects do not meet their expectations in terms of functionality, cost, or delivery schedule. Process - Composed of line practitioners who have varied skills, the group is at the center of the collaborative effort of everyone in the organization who is involved with software engineering process improvement. Process-oriented view on cooperating software components based on the concepts and terminology of a language/action perspective on cooperative work provides a more suitable foundation for the analysis, design and implementation of software components in business applications.",4
What are the advantages and disadvantages of iterative software development model,Advantages In iterative model we can only create a high-level design of the application before we actually begin to build the product and define the design solution for the entire product. Building and improving the product step by step. can get the reliable user feedback Less time is spent on documenting and more time is given for designing. Disadvantages Each phase of an iteration is rigid with no overlaps Costly system architecture or design issues may arise because not all requirements are gathered up front for the entire lifecycle,4
What are the issues in measuring the software size using LOC as metric,? Lack of Accountability. ? Lack of Cohesion with Functionality. ? Adverse Impact on Estimation. ? Difference in Languages. ? Advent of GUI Tools ? Lack of Counting Standards.,2
What is System Engineering?,"System Engineering means designing, implementing, deploying and operating systems which include hardware, software and people.",1
What is the use of CMM?,Capability Maturity Model is used in assessing how well an organization�s processes allow to complete and manage new software projects.,1
What is meant by Software engineering paradigm?,"The development strategy that encompasses the process, methods and tools and generic phases is often referred to as a process model or software engineering paradigm.",1
Define agility and agile team.,"? Agility-Effective (rapid and adaptive) response to change (team members, new technology, requirements) ? Effective communication in structure and attitudes among all team members, technological and business people, software engineers and managers? ? Drawing the customer into the team. Eliminate �us and them� attitude. Planning in an uncertain world has its limits and plan must be flexible. ? Organizing a team so that it is in control of the work performed ? The development guidelines stress delivery over analysis and design although these activates are not discouraged, and active and continuous communication between developers and customers ? Eliminate all but the most essential work products and keep them lean. Emphasize an incremental delivery strategy as opposed to intermediate products that gets working software to the customer as rapidly as feasible",6
Write any two characteristics of software as a product.,"1. Software is developed or engineered, it is not manufactured in the classical sense 2. Software doesn't ""wear out."" 3. Although the industry is moving toward component-based assembly, most software continues to be custom built.",2
List two deficiencies in waterfall model . Which process model do you suggest to overcome each deficiency.,"?Once an application is in the testing stage, it is very difficult to go back and change something that was not well-thought out in the concept stage. ? No working software is produced until late during the life cycle",2
What is Agile?,"The word �agile� means ? ? Able to move your body quickly and easily. ? Able to think quickly and clearly. In business, �agile� is used for describing ways of planning and doing work wherein it is understood that making changes as needed is an important part of the job. Business�agililty� means that a company is always in a position to take account of the market changes. In software development, the term �agile� is adapted to mean �the ability to respond to changes ? changes from Requirements, Technology and People.�",4
What is Agile Manifesto?,"The Agile Manifesto states that ? We are uncovering better ways of developing software by doing it and helping others do it. Through this work, we have come to value ? ? Individuals and interactions over processes and tools. ? Working software over comprehensive documentation. ? Customer collaboration over contract negotiation. ? Responding to change over following a plan. That is, while there is value in the items on the right, we value the items on the left more.",4
What are the Characteristics of Agility?,"following are the characteristics of Agility ? ? Agility in Agile Software Development focuses on the culture of the whole team with multi-discipline, cross-functional teams that are empowered and selforganizing. ? It fosters shared responsibility and accountability. ? Facilitates effective communication and continuous collaboration. ? The whole-team approach avoids delays and wait times. ? Frequent and continuous deliveries ensure quick feedback that in in turn enable the team align to the requirements. ? Collaboration facilitates combining different perspectives timely in implementation, defect fixes and accommodating changes",4
What are the principles of of agile methods?,"? Customer involvement Customers should be closely involved throughout the development process. Their role is provide and prioritize new system requirements and to evaluate the iterations of the System. Incremental delivery The software is developed in increments with the customer specifying the requirements to be included in each increment. People not process The skills of the development team should be recognized and exploited. Team members should be left to develop their own ways of working without prescriptive processes. Embrace change Expect the system requirements to change and so design the system to accommodate these changes. Maintain simplicity Focus on simplicity in both the software being developed and in the development process. Wherever possible, actively work to eliminate complexity from the system.",5
What are the Problems with agile methods?,? It can be difficult to keep the interest of customers who are involved in the process. ? Team members may be unsuited to the intense involvement that characterizes agile methods. ? Prioritizing changes can be difficult where there are multiple stakeholders. ? Maintaining simplicity requires extra work. ? Contracts may be a problem as with other approaches to iterative development.,5
What is Extreme Programming?,"XP is a lightweight, efficient, low-risk, flexible, predictable, scientific, and fun way to develop a software. eXtreme Programming (XP) was conceived and developed to address the specific needs of software development by small teams in the face of vague and changing requirements. Extreme Programming is one of the Agile software development methodologies. It provides values and principles to guide the team behavior. The team is expected to self-organize. Extreme Programming provides specific core practices where ? ? Each practice is simple and self-complete. ? Combination of practices produces more complex and emergent behavior",5
HOW Embrace Change happens in Extreme programming?,"A key assumption of Extreme Programming is that the cost of changing a program can be held mostly constant over time. This can be achieved with ? ? Emphasis on continuous feedback from the customer ? Short iterations ? Design and redesign ? Coding and testing frequently ? Eliminating defects early, thus reducing costs ? Keeping the customer involved throughout the development ? Delivering working product to the customer",5
How Extreme Programming usedin a Nutshell?,"Extreme Programming involves ? ? Writing unit tests before programming and keeping all of the tests running at all times. The unit tests are automated and eliminate defects early, thus reducing the costs. ? Starting with a simple design just enough to code the features at hand and redesigning when required. ? Programming in pairs (called pair programming), with two programmers at one screen, taking turns to use the keyboard. While one of them is at the keyboard, the other constantly reviews and provides inputs. ? Integrating and testing the whole system several times a day",4
Why is it called �Extreme?,Extreme Programming takes the effective principles and practices to extreme levels. ? Code reviews are effective as the code is reviewed all the time. ? Testing is effective as there is continuous regression and testing. ? Design is effective as everybody needs to do refactoring daily. ? Integration testing is important as integrate and test several times a day. ? Short iterations are effective as the planning game for release planning and iteration planning.,4
What are the Extreme Programming Advantages?,Extreme Programming solves the following problems often faced in the software development projects ? ? Slipped schedules ? and achievable development cycles ensure timely deliveries. ? Cancelled projects ? Focus on continuous customer involvement ensures transparency with the customer and immediate resolution of any issues. ? Costs incurred in changes ? Extensive and ongoing testing makes sure the changes do not break the existing functionality. A running working system always ensures sufficient time for accommodating changes such that the current operations are not affected. ? Production and post-delivery defects: Emphasis is on ? the unit tests to detect and fix the defects early.,4
What is Scrum ?,"The Scrum approach is a general agile method but its focus is on managing iterative development rather than specific agile practices. There are three phases in Scrum: 1. The initial phase is an outline planning phase where you establish the general objectives for the project and design the software architecture. 2. This is followed by a series of sprint cycles, where each cycle develops an increment of the system. 3. The project closure phase wraps up the project, completes required documentation such as system help frames and user manuals and assessesthe lessons learned from the project.",4
Explain the following: (i) waterfall model (ii) Spiral model (iii)RAD model (iv) Prototyping model.,"? A Project management methodology based on asequential design process ? Finishes one phase before another phase can begin ? SDLC Model ? Linear Sequential Model ? Simple to understand and easy to implement Waterfall model phases There are separate identified phases in the waterfall model: 1. Requirements analysis and definition 2. System and software design 3. Implementation and unittesting 4. Integration and system testing 5. Operation and maintenance The main drawback of the waterfall model is the difficulty of accommodating change after the process is underway. In principle, a phase has to be complete before moving onto the next phase. (ii)SPIRAL MODEL The spiral model is divided into number of frame works. These frameworks are 22 denoted by task regions. Usually there are six task regions. In spiral model project entry point axis is defined. The task regions are: 1. Customer communication ,Planning Risk analysis., Engineering, Construct and release and Customer evaluation. ? Drawbacks 1. It is based on customer communication. 2. It demands considerable risk assessment. It was originally proposed by Barry Boehm, the spiral model is anevolutionary software process model that couples the iterative nature of prototyping with the controlled and systematic aspects of the waterfallmodel. 23 It provides the potential for rapid development of increasingly more complete versions of the software. The spiral model can be adopted to apply throughout the entire lifecycle of the application from concept development tomaintenance. The spiral model is divided into set of framework activities defined bysoftware engineering team. The initial activity is shown from centre and developed inclockwise direction. Advantages ? In this approach, the project monitoring is easy and more effective compared to other models. ? It reduces the number of risk in softwaredevelopment before they become serious problem. ? Suitable for very high risk. ? Schedule and cost is more realistic. ? Risk management is in-built in the spiralmodel. ? Changes can be accommodated in the later ? stages (iii) RAD Model RAD or Rapid Application Development process is an adoption of the waterfall model; it targets at developing software in a short span of time. RAD follows the iterative SDLC RAD model has following phases iv. Business Modeling v. Data Modeling vi. Process Modeling vii. Application Generation viii. Testing and Turnover 24 iv) Prototyping Model Prototype methodology is defined as a Software Development model in which a prototype is built, test, and then reworked when needed until an acceptable prototype is achieved. It also creates a base to produce the final system. Software prototyping model works best in scenarios where the project's requirements are not known. It is an iterative, trial, and error method which take place between the developer and the client Often, a customer defines a set of general objectives for software, but does not identify detailed requirements for functions and features. In this case Prototyping is best suited Prototyping can be used together with other models for elicitation requirements The prototype can serve as �the first system.� Some prototypes are �Throw Away� while others also evolve become part of the actual system. Both customers and developers like the prototyping paradigm. i. Customer/End user gets a feel for the actualsystem 25 ii. Developer get to build something immediately",10
Discuss the various life cycle models in software development?,"? The Software Development Lifecycle (SDLC) is a systematic process for building software that ensures the quality and correctness of the software built. ? SDLC process aims to produce high-quality software which meets customer expectations. ? The system development should be complete in the pre-defined time frame and cost. DLC consists of a detailed plan which explains how to plan, build, and maintain specific software. Every phase of the SDLC lifecycle has its own process and deliverables that feed into the next phase. ? Phase 1: Requirement collection and analysis ? Phase 2: Feasibility study: ? Phase 3: Design: ? Phase 4: Coding: ? Phase 5: Testing: ? Phase 6: Installation/Deployment: ? Phase 7: Maintenance: Phase 1: Requirement collection and analysis: The requirement is the first stage in the SDLC process. It is conducted by the senior team members with inputs from all the stakeholders and domain experts in the industry. Planning for the quality assurance 26 requirements and recognization of the risks involved is also done at this stage. This stage gives a clearer picture of the scope of the entire project and the anticipated issues, opportunities, and directives which triggered the project. Requirements Gathering stage need teams to get detailed and precise requirements. This helps companies to finalize the necessary timeline to finish the work of that system. Phase 2: Feasibility study: Once the requirement analysis phase is completed the next step is to define and document software needs. This process conducted with the help of 'Software Requirement Specification' document also known as 'SRS' document. It includes everything which should be designed and developed during the project life cycle. There are mainly five types of feasibilities checks: ? Economic: Can we complete the project within the budget or not? ? Legal: Can we handle this project as cyber law and other regulatory framework/compliances. ? Operation feasibility: Can we create operations which is expected by the client? ? Technical: Need to check whether the current computer system can support the software ? Schedule: Decide that the project can be completed within the given schedule or not. Phase 3: Design: In this third phase, the system and software design documents are prepared as per the requirement specification document. This helps define overall system architecture. This design phase serves as input for the next phase of the model. There are two kinds of design documents developed in this phase: High-Level Design (HLD) (a) Brief description and name of each module (b) An outline about the functionality of every module (c) Interface relationship and dependencies between modules (d) Database tables identified along with their key elements (e) Complete architecture diagrams along with technology details Low-Level Design(LLD) ? Functional logic of the modules 27 ? Database tables, which include type and size ? Complete detail of the interface ? Addresses all types of dependency issues ? Listing of error messages ? Complete input and outputs for every module Phase 4: Coding: Once the system design phase is over, the next phase is coding. In this phase, developers start build the entire system by writing code using the chosen programming language. In the coding phase, tasks are divided into units or modules and assigned to the various developers. It is the longest phase of the Software Development Life Cycle process. In this phase, Developer needs to follow certain predefined coding guidelines. They also need to use programming tools like compiler, interpreters, debugger to generate and implement the code. Phase 5: Testing: Once the software is complete, and it is deployed in the testing environment. The testing team starts testing the functionality of the entire system. This is done to verify that the entire application works according to the customer requirement. During this phase, QA and testing team may find some bugs/defects which they communicate to developers. The development team fixes the bug and send back to QA for a re-test. This process continues until the software is bug-free, stable, and working according to the business needs of that system. Phase 6: Installation/Deployment: Once the software testing phase is over and no bugs or errors left in the system then the final deployment process starts. Based on the feedback given by the project manager, the final software is released and checked for deployment issues if any. Phase 7: Maintenance: Once the system is deployed, and customers start using the developed system, following 3 activities occur ? Bug fixing - bugs are reported because of some scenarios which are not tested at all ? Upgrade - Upgrading the application to the newer versions of the Software ? Enhancement - Adding some new features into the existing software",10
What is the difference between information engineering & product engineering? Also explain the product engineering hierarchy in detail.,"Product engineering ? It refers to the process of designing and developing a device, assembly, or system such that it is produced as an item for sale through some production manufacturing process. ? Product engineering usually entails activity dealing with issues of cost, producibility, quality, performance, reliability, serviceability, intended lifespan and user features. ? These product characteristics are generally all sought in the attempt to make the resulting product attractive to its intended market and a successful contributor to the business of the organization that intends to offer the product to that market. ? It includes design, development and transitioning to manufacturing of the product. The term encompasses developing the concept of the product and the design and development of its mechanical, electronics and software components. ? After the initial design and development is done, transitioning the product to manufacture it in volumes is considered part of product engineering. ? Product engineers are the technical interface between the component development team and the production side (Front End and Back End), especially after the development phase and qualifications when the high volume production is running. ? Product engineers improve the product quality and secure the product reliability by balancing the cost of tests and tests coverage that could impact the production fall-off. They support failure analysis request from customers. ? For example, the engineering of a digital camera would include defining the feature set, design of the optics, the mechanical and ergonomic design of the packaging, developing the electronics that control the various component and developing the software that allows the user to see the pictures, store them in memory and download them to a computer. ? Product engineering is an engineering discipline that deals with both design and manufacturing aspects of a product. The job requires the product engineer to have a very good working knowledge of: ? Statistical methods and tools ? Manufacturing process ? Software, hardware and systems implementation ? Product reliability and qualification ? Physical analysis methods ? Computer-aided design and simulation programs ? Specific technology ? Strong product Knowledge 29 ? Strong analytic work methodology and problem solving skills ? Continuous Improvement Knowledge Information engineering (IE) ? It also known as Information technology engineering (ITE), information engineering methodology (IEM) or data engineering, is a software engineering approach to designing and developing information systems. ? Information technology engineering involves an architectural approach for planning, analyzing, designing, and implementing applications. ? It has been defined by Steven M Davis as: ""An integrated and evolutionary set of tasks and techniques that enhance business communication throughout an enterprise enabling it to develop people, procedures and systems to achieve its vision There are two variants of information technology engineering. These are called the DP-driven variant and the business-driven variant. ? DP-driven: The DP-driven variant of information technology engineering was designed to enable IS Departments to develop information systems that satisfied the information needs of the 1980s - which was largely a DP-driven development environment. Most of the CASE tools available today support this DP-driven variant of ITE. i. Business-driven: ITE was extended into strategic business planning for the business-driven variant of information technology engineering. This variant was designed for rapid change in the client/server, object-oriented environment of the business-driven 1990's.",10
What is Software Prototyping?,It is a rapid software development for validating the requirements. It is to help customers & developers to understand the system requirements.,2
Which process model is best suited for risk management? Discuss in detail with an example. Give its advantages and disadvantages?,"There are two characteristics of risk i.e. uncertainty and loss. Following are the categories of the risk: 1. Project risk 1. If the project risk is real then it is probable that the project schedule will slip and the cost of the project will increase. 2. It identifies the potential schedule, resource, stakeholders and the requirements problems and their impact on a software project. 2. Technical risk ? If the technical risk is real then the implementation becomes impossible. ? It identifies potential design, interface, verification and maintenance of the problem. 3. Business risk If the business risk is real then it harms the project or product. There are five sub-categories of the business risk: 1. Market risk - Creating an excellent system that no one really wants. 2. Strategic risk - Creating a product which no longer fit into the overall business strategy for companies. 3. Sales risk - The sales force does not understand how to sell a creating product. 4. Management risk - Loose a support of senior management because of a change in focus. 5. Budget risk - losing a personal commitment. 34 Other risk categories These categories suggested by Charette. 1. Known risks : These risk are unwrapped after the project plan is evaluated. 2. Predictable risks : These risks are estimated from previous project experience. 3. Unpredictable risks : These risks are unknown and are extremely tough to identify in advance. Principles of risk management Maintain a global perspective - View software risks in the context of a system and the business problem planned to solve. Take a forward looking view � Think about the risk which may occur in the future and create future plans for managing the future events. Encourage open communication � Encourage all the stakeholders and users for suggesting risks at any time. Integrate � A consideration of risk should be integrated into the software process. Emphasize a continuous process � Modify the identified risk than the more information is known and add new risks as better insight is achieved. Develop a shared product vision � If all the stakeholders share the same vision of the software then it is easier for better risk identification. Encourage teamwork � While conducting risk management activities pool the skills and experience of all stakeholders. Risk Identification It is a systematic attempt to specify threats to the project plans. Two different types of risk: 1. Generic risks o These risks are a potential threat to each software project. 2. Product-specific risks - These risks are recognized by those with a clear understanding of the technology, the people and the environment which is specific to the software that is to be built. - A method for recognizing risks is to create item checklist.",10
Consider 7 functions with their estimated lines of code. Average productivity based on historical data is 620 LOC/pm and labour rate is Rs. 8000 per mnth. Find the total estimates project cost and effort?,"There are many techniques that can be used to rigorously estimate or measure effortand cost for a software project, such as: -Function Point (FP) -Source Lines of Code (SLOC). -COnstructive COst MOdel (COCOMO) -Delphi SLOC Technique(Source Line of Code Technique)-The SLOC technique is an objective method of estimating or calculating the size of the project. -The project size helps determine the resources, effort, cost, and duration required to complete the project. -It is also used to directly calculate the effort to be spent on a project. -W e can use it when the programming language and the technology to be used are predefined. -This technique includes the calculation of lines of codes(LOC), documentation of pages, inputs, outputs, and components of a software program. Counting SLOC-The use of SLOC techniques can be used in the case of the technology or language remains unchanged throughout the project. Generally, it can be used when you are using third-generation language, such as FORTRAN or COBOL. -To count the SLOC the following must be considered: The count includes:- The SLOC delivered to client. -The SLOC written only by the development team are counted-The declaration statements are counted as source lines of code The count excludes:-The code created by application generators. -The comments inserted to improve the readability of program. -Once, you get the numbers of line of code of SLOC, you can estimate or calculate the total effort and cost to complete the given project. Example:-Assume estimated lines of code of a system is: 33,600 LOC -Average productivity for system of this type is: 620 LOC/person-monthThere are 7 developers-Labor rate is: $ 8000per person-month Calculate the total effort and cost required to complete the above project Solution+Way1=> 36 Total Effort =Total LOC/Productivity = 33600/620=54.19 ? 54 person-months=> 7developers Effort = Total Effort/6= 54/7= 7months=> Total Cost=Total Effort * Labor Rate = 54 * 8000? $43,2000+Way2=> Cost per LOC =Labor Rate/Productivity=8000/620=$12.9? $13 > Total Cost = Total LOC * Cost perLOC =33,600* 13=$436800",5
What is the impact of reusability in software development process?,"Component-based software engineering (CBSE) ? It also called components-based development (CBD), is a branch of software engineering that emphasizes the separation of concerns with respect to the wideranging functionality available throughout a given software system. ? It is a reuse-based approach to defining, implementing and composing loosely coupled independent components into systems. ? This practice aims to bring about an equally wide-ranging degree of benefits in both the short-term and the long-term for the software itself and for organizations that sponsor such software. ? Software engineering practitioners regard components as part of the starting platform for service-orientation. ? Components play this role, for example, in web services, and more recently, in service-oriented architectures (SOA), whereby a component is converted by the web service into a service and subsequently inherits further characteristics beyond that of an ordinary component. � COTS(CommercialOffTheShelf)software components, developed by vendors who offer them as products can beusedwhensoftwareistobuilt. � Provides interfaces targeted functionality with well defined � Incorporates model many of the characteristics of Spiral model � Regardlessof technologyto beused,it mustfollow the steps like� Available component based productsare researched and evaluated for the current application Component integration issues is to dealt � A softwarearchitectureisdesignedto accommodatethe components. � Components are integrated into the architecture � Comprehensive testing is conductedto ensure proper functionality. � Component Based Software Engineering(CBSE) is a process that emphasis the design and construction of computer based system using reusable software �components�. 37 � It emerged from the failure of object-oriented development to support effective reuse. Single object classes are too detailed and specific. � CBSE embodies the �buy , don�t built� philosophy",5
How function point analysis methodology is applied in estimation of software size ?,"If LOC is simply a count of the number of lines then figure shown below contains 18 LOC . (ii) A line of code is any line of program text that is not a comment or blank line, regardless of the number of statements or fragments of statements on the line. This specifically includes all lines containing program header, declaration, and executable and non-executable statements�. Function Count Alan Albrecht while working for IBM, recognized the problem in size measurement in the 1970s, and developed a technique (which he called Function Point Analysis), which appeared to be a solution to the size measurement problem. The five functional units are divided in two categories: (i) Data function types # Internal Logical Files (ILF): A user identifiable group of logical related data or control information maintained within the system. # External Interface files (EIF): A user identifiable group of logically related data or control information referenced by the system, but maintained within another system. This means that EIF counted for one system, may be an ILF in another system. The weighting factors are identified for all functional units and multiplied with the functional units accordingly. The procedure for the calculation of Unadjusted Function Point (UFP) is given in table shown above. he procedure for the calculation of UFP in mathematical (iii)form is given below:UFP = ?? Z ij w ij i = 1 J = 1 Where i indicate the row and j indicates the column of Table 1 W ij : It is the entry of the i th row and j th column of the table 1 Zij : It is the count of the number of functional units of Type i that have been classified as having the complexity corresponding to column j. Organizations that use function point methods develop a criterion for 39 determining whether a particular entry is Low, Average or High. Nonetheless, the determination of complexity is somewhat subjective. FP = UFP * CAF Where CAF is complexity adjustment factor and is equal to [0.65 + 0.01 x ?F i ]. The F i (i=1 to 14) are the degree of influence",4
An application has the following:10 low external inputs: 12 high external outputs: 20 low internal logical files: 15 high external interface files: 12 average external inquiries and a value adjustment factor of 1.10 . What is the unadjusted and adjusted function point count ?,Solution Unadjusted function point counts may be calculated using as: UFP = ?? Z ij w ij i = 1 J = 1 FP = 10 x 3 + 12 x 7 + 20 x 7 + 15 + 10 + 12 x 4 = 30 + 84 +140 + 150 + 48 = 452 = UFP x CAF = 452 x 1.10 = 497.2.,4
What is a process model ? Describe the process model that you would choose to manufacture a car. Explain giving suitable reasons,"A structured set of activities required to develop a software system. � Many different software processes but all involve: �Specification � defining what the system should do; Design and implementation � defining the organization of the system and implementing the system; Validation � checking that it does what the customer wants; Evolution � changing the system in response to changing customer needs. � A software process model is an abstract representation of a process. It presents a description of a process from some particular perspective When we describe and discuss processes, we usually talk about the activities in these processes such as specifying a data model, designing a user interface, etc. and the ordering of these activities. � Process descriptions may also include: �Products, which are the outcomes of a process activity; Roles, which reflect the responsibilities of the people involved in the process; Pre- and post-conditions, which are statements that are true before and after a process activity has been enacted or a product produced.",4
Explain how breakdown structure is used in software engineering .Discuss how software project scheduling helps in timely release of a product,"A Work Breakdown Structure includes dividing a large and complex project into simpler, manageable and independent tasks. The root of this tree (structure) is labelled by the Project name itself. For constructing a work breakdown structure, each node is recursively decomposed into smaller sub-activities, until at the leaf level, the activities becomes undividable and independent. It follows a Top-Down approach. Steps: 3. Step-1: Identify the major activities of the project. 4. Step-2: Identify the sub-activities of the major activities. 5. Step-3: Repeat till undividable, simple and independent activities are created",4
Give detail explanation about agile process?,"Combination of iterative and incremental process models Focus of adaptability and customer satisfaction Break into small incremental builds iteration typically lasts 1-3 weeks Cross functional teams working End of the iteration, a working product is displayed to the customer Advantage Realistic approach Promotes teamwork and cross training. Functionality developed rapidly and demonstrated. 41 Resource requirements are minimum. Suitable for fixed or changing requirements Delivers early partial working solutions. Good model for environments that change steadily. Minimal rules, documentation easily employed. Little or no planning required. Easy to manage. Gives flexibility to developers. Not suitable for handling complex dependencies. Strict delivery management dictates the scope, functionality to be delivered, and adjustments to meet the deadlines. Depends heavily on customer interaction, so if customer is not clear, team can be driven in the wrong direction. Transfer of technology to new team members may be quite challenging due to lack of documentation. Agile Framework Rational Unified Process (1994), Scrum (1995), Extreme Programming (1996), Adaptive Software Development, Feature Driven Development, Dynamic Systems Development Method (DSDM) (1995). Rational Unified Process (1994), Scrum (1995), Extreme Programming (1996), Adaptive Software Development, Feature Driven Development, Dynamic Systems Development Method (DSDM) (1995)",5
Describe in detail about Extreme programming ?,"Management-Practices On-SiteCustomer: Acentralcustomercontactmustalwaysbe accessible in order to clarify requirements and questions directly. Planning Game: Projects, in accordance with XP, run iteratively (repeatedly) and incrementally (gradually build on each other). The contentsof the nextstepareplannedbeforeeach iteration. Allproject members(incl.the customer)participate. ShortReleases:Newdeliveriesshouldbemadeatshort intervals. Consequently, customers receive the required functionsquickerandcanthereforegivefeedbackonthe developmentquicker. ? Team-Practices Metaphor: Only a few clear metaphors should describe the system beingdevelopedsothatthenitty-gritty ofthe systemisclearto allof the projectmembers. Collective Ownership: The whole team is responsible for the system, not individuals.Eachdevelopermusthaveaccessto all linesof code so that eachdeveloperisableto takeoverthetaskof anotherdeveloper. ? ContinuousIntegration:All changesto the systemareintegrated Promptly so that not too many dependencies between changes occur. CodingStandards:Regardingthe commonresponsibilityfor the code, thereshouldbeagivencommonstandardfor writingthecode. Sustainable Pace: XP builds on the creativity of the individual project members. This creativity cannot be achieved if the project team constantlyworksovertime. Overtimeisto be avoided. ? Design Writing unit tests before programming and keepingallofthetests runningatalltimes.The unit testsareautomatedandeliminates defects early,thusreducingthecosts. Startingwith asimpledesignjust enoughtocode the features at hand and redesigning when required.",5
